Page,MiracleHunter Entry,Status,Existing Link,Additional Tags
1600-1699,1692 - THE GIAUDET-LANRIVAIN (BELGIUM),"Not previously ingested — written as new lead this pass (MiracleHunter's own text garbles the country as ""Belgium""; corrected to France per the entry's own wording, ""diocese of Saint-Brieuc"" — real, identifiable shrine, Chapelle Notre-Dame du Guiaudet)",research_findings lead 74dfe8ae-9353-441d-b742-f5c5fc098468,
1600-1699,"Jan 9, 1692 - Messina, Sicily, Italy",Not previously ingested — written as new lead this pass (medium confidence — MiracleHunter's text does not explicitly name Messina Cathedral but the Madonna della Lettera devotion described is inseparable from it),research_findings lead b561ba4c-02fd-4ff3-a15b-53234758b95e,
1600-1699,"Nov 13, 1695 - Santa Rosa, Ambato, Tungurahua, Ecuador",Not previously ingested — written as new lead this pass,research_findings lead 6789ecc5-bf29-4951-9490-531510ebff60,
1600-1699,1696 - Quito (Ecuador),"Not previously ingested — written as new lead this pass (distinct from the other two Quito entries on this page — Feb 1634 Mother Mariana de Jesus Torres, and Dec 1696 Nuestra Señora de la Nube below)",research_findings lead 8025d3fd-8fda-44f8-8d1e-0f6e2b08f37d,
1600-1699,"1696 - Ellwangen, WÚTTENBERG (GERMANY)",Not previously ingested — written as new lead this pass,research_findings lead d6c44494-8c92-44ae-ba16-fe2042e68868,
1600-1699,SLJMEG (HUNGARY),"Not previously ingested — written as new lead this pass (garbled place name ""SLJMEG"" corrected to Sümeg per the entry's own text; medium confidence — the specific Pieta-relocation legend was not independently corroborated beyond MiracleHunter's own account, though Sümeg's pilgrimage church is real and well documented)",research_findings lead d6b4945e-d731-4e77-bec7-b4d14749df71,
1600-1699,"January 27, 1699 - Castenaso (italy)",Not previously ingested — written as new lead this pass,research_findings lead 01291c00-dd7f-4506-a852-3247e92a99d0,
1700-1799,1700 - Germany (Ven. Bartolomeo Holzhauser),"Excluded — no locatable site identified (new excluded record written this pass — bare country name only, no city/structure named)",research_findings excluded a68a7442-9f5d-4320-bda0-46614a070372,
1700-1799,1700 - S. Severino Lucano (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 9af85efd-1b7d-454e-8c61-dcb54b91eac4,
1700-1799,ca. 1700 - Poponguine (Senegal),Not previously ingested — written as new lead this pass,research_findings lead 3c735321-9f5c-4aac-99b9-268608a3b454,
1700-1799,1700? - Quillacollo/Urkupiña (Bolivia),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 74dbc943-0e56-4ef2-a308-a4641269bc20,
1700-1799,"January 25, 1704 - Florida (USA) — Antonio Cuipa","Not previously ingested — written as new lead this pass (low confidence — flagged for review; Ayubale itself has no confirmed distinct locatable site, nearest well-documented associated site cited instead)",research_findings lead 6971c975-926a-442a-b434-e992ce73dc75,
1700-1799,August 1705 - Capurso (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 8998f604-10d9-4006-93f6-5811e12fb717,
1700-1799,1707 - Kötschach (Austria),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate a1cee80f-f3ed-47f3-8662-f31f5f94d49b,
1700-1799,1708 - Bischwind (Germany),"Untraceable (real votive chapel — Maria Hilf, Bischwind — exists, but independent research could not confirm an actual documented Marian apparition beyond the founding thanksgiving-chapel legend; MiracleHunter link added this pass)",research_findings excluded 70acf033-c444-4d08-8c11-cbf623d52cab,
1700-1799,1709 - Forêt de la Madeleine (France),Excluded — no locatable site identified (MiracleHunter link added this pass — was missing),research_findings excluded 5b53ee40-ac62-4271-bc14-c3800cf92ef9,
1700-1799,"1710 and on - Ovada, Castellazzo (Italy) — St. Paul of the Cross",Queued for approval (dedicated MiracleHunter subpage link added this pass — was missing),research_findings candidate fe24749a-72ba-4c02-826e-c9715573caf8,
1700-1799,1712 - Slowczk/Solovetsky (Russia),Not previously ingested — written as new lead this pass (medium confidence — monastery real and well documented; the specific apparition-to-a-monk claim was not independently corroborated beyond MiracleHunter's own account),research_findings lead bcfe249a-caed-4a29-988e-526628d03460,
1700-1799,1716 - Peterwardein/Petrovaradin,"Untraceable (real votive church — Our Lady of Snow, Petrovaradin — exists, but independent sources describe it as commemorating a battle-date coincidence with the Feast of Our Lady of the Snows, not a documented apparition; marian-sites tag removed and MiracleHunter link added this pass for consistency)",research_findings excluded 34be6a6e-a9de-4448-9b75-ffb085c70c87,
1700-1799,"October 1, 1711 - Valverde (Italy) — Paolo Ogna & Francesco Pellizzari","Approved, in sites (tag and MiracleHunter link already complete)",https://orbisdei.org/site/it-rezzato-sanctuary-of-our-lady-of-valverde,
1700-1799,"August 18, 1713 and August 20, 1714 - Rubiana (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 2a7949e5-1c17-4b3a-af7d-08989c085fa1,
1700-1799,"August 14, 1715 - Sinj (Croatia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate dc555f9b-c6e7-4905-ab1b-e5b5f08b53dc,
1700-1799,"August 4, 1716 - Pellestrina (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate f511a1da-5897-42ae-85f1-ad5cdcc36b20,
1700-1799,1716 - Mercatello sul Metauro (Italy) — St. Veronica Giuliani,"Queued for approval (cross-page duplicate: same visionary/tradition already logged on the 1600-1699 CSV as the ""1664-1727 Mercatello sul Matauro"" entry — Monastery of St. Veronica Giuliani, Città di Castello; MiracleHunter link already present from that pass; a separate stale ""no site found"" duplicate record for this same claim closed this pass)",research_findings candidate c35349df-7ae9-4f66-8b4d-261d2ebf8a35,veronica-giuliani
1700-1799,"July 2, 1717 - Lescure (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 983de713-e757-4d67-b10d-31068a92e369,
1700-1799,October 1717 - São Paulo (Brazil) — Our Lady of Aparecida,"Approved, in sites (MiracleHunter link added this pass — was missing; stale duplicate research_findings candidate closed)",https://orbisdei.org/site/br-aparecida-national-shrine-of-our-lady-aparecida,
1700-1799,Altenhohenau (Germany) — Columba Weigl,Not previously ingested — written as new lead this pass,research_findings lead b7634145-c16b-4b62-b1e2-7d0958e4b012,
1700-1799,"1722 - Persquen, Morbihan (France)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate cda56cb5-1c27-4687-b955-6d5deb80b0d8,
1700-1799,"July 9, 1722 - Maserada sul Piave, Treviso (Italy)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate e3c6015e-5ff4-4790-9c12-8345d67fbf0f,
1700-1799,"May 14, 1729 and May 26, 1730 - Montagnaga di Pinè (Trento, Italy)",Queued for approval (cross-page duplicate: MiracleHunter itself cross-lists this apparition as Bishop Approved; already logged as a lead from that pass with dedicated MiracleHunter link; a duplicate candidate record from a generic Italy pass closed this pass),research_findings lead 8a0fbe44-f55a-4992-a974-c216fa361db9,
1700-1799,"1729 - Pine, Trentino Alto Adige (Italy)","Queued for approval (within-page duplicate of the ""Montagnaga di Pinè"" entry above — same sanctuary/founding tradition, MiracleHunter's own text gives two slightly different versions)",research_findings lead 8a0fbe44-f55a-4992-a974-c216fa361db9,
1700-1799,1737 - Neunkirchen (Austria),Untraceable (a genuine 15th-century Marienkapelle exists at Neunkirchen — renovated in 1737 — but no apparition or other qualifying Marian event could be independently corroborated for that year; MiracleHunter link added this pass),research_findings excluded 0c7de1f5-d8c7-4450-ab84-d44116d32466,
1700-1799,1740 - Rome (Italy) — Madonna of Divine Love,"Untraceable (real, major, standing shrine — Santuario della Madonna del Divino Amore — but per the record's own sourced research this is a miraculous-image protection legend, not a personal Marian apparition; reclassified from candidate to excluded and marian-sites tag removed this pass for consistency with the audit's established handling of uncorroborated apparition claims at real sites; MiracleHunter link added)",research_findings excluded 5326a257-14da-4a82-a8a3-f27890aad0ef,
1700-1799,1747 - Bois-de-la-Roche-en-Néant (France),Excluded — no locatable site identified (MiracleHunter link added this pass — was missing; appears to be an empty placeholder in MiracleHunter's own catalogue),research_findings excluded 46afb061-5153-4b49-85a7-e8b2fd6755e9,
1700-1799,1765 - Potschaiw/Pochaiv (Ukraine),Queued for approval (cross-page duplicate: same monastery — Pochaiv Lavra — already logged on the 1100-1199 CSV with a MiracleHunter link; this page's 1765 Turkish-army event is a third apparition tradition at the same site),research_findings candidate 151b4c13-f44c-48a5-ba6a-5363e9f073e9,
1700-1799,"1750 - Chaguaya, Tarija (Bolivia)",Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 65c02862-3f10-4489-83c9-5125dd2d9028,
1700-1799,October 1753 - Gimigliano (Italy),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate 0a5c0cce-5787-4bbd-8b4a-6ea26c5c5235,
1700-1799,1754 - Guaitara Canyon (Colombia) — Our Lady of Las Lajas,"Approved, in sites (tag and MiracleHunter link already complete)",https://orbisdei.org/site/co-potosi-basilica-of-our-lady-of-las-lajas,
1700-1799,"April 19, 1759 - Mariabesuyú/Máriabesnyő (Hungary)",Not previously ingested — written as new lead this pass,research_findings lead 547f2a0b-5fa1-4678-82c1-6a6e81894fe6,
1700-1799,1769 - France (Marie Lenormand),"Excluded — no locatable site identified (new excluded record written this pass — bare country name only, no city/structure named)",research_findings excluded 63922056-16af-4119-944b-77216a5af688,
1700-1799,"1777 - Valley Forge, Pennsylvania (USA) — George Washington",Excluded — no locatable site identified (new excluded record written this pass; flagging that this account never actually names or describes the Virgin Mary and is widely regarded as an apocryphal 1859 newspaper legend — doubtful this belongs on a Marian apparitions list at all),research_findings excluded 95fc56c6-ea71-4cfc-adb2-b2ee2ce51d76,
1700-1799,1779 - Bocca Pignone di Ripalta (Italy) — Madonna della Ghianda,Not previously ingested — written as new lead this pass,research_findings lead 1f425a61-ef94-4bd3-97d9-eee067bdf4fb,
1700-1799,1779 - Sarov (Russia) — St. Seraphim of Sarov,Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate fb711957-7077-4cd4-9d8a-ee5e17e5c4ef,
1700-1799,"1783 - Dülmen, Westphalia (Germany) — St. Anne Catherine Emmerich",Untraceable (real convent/visionary — Anne Catherine Emmerich at the Agnetenberg convent — but independent research found no corroboration for a specific 1783 apparition; her documented visions/stigmata began in 1812. MiracleHunter link added this pass),research_findings excluded cd5582ba-56fd-45a1-86ae-fca258e9b229,
1700-1799,1791 - Bordeaux (France) — Bl. Guillaume-Joseph Chaminade,Excluded — no locatable site identified (MiracleHunter link added this pass — was missing; no documentation found for any 1791 Marian apparition/claim in Bordeaux — genuine Bordeaux apparition claims exist only for other years),research_findings excluded a1a282b2-c54f-4d24-a906-82d08414b0d3,
1700-1799,1792 - Doroszlo (Hungary) — János Zavloczki,"Not previously ingested — written as new lead this pass (existing research_findings row was mis-scoped to a different country batch and incorrectly excluded — real site is Doroslovo, Sombor municipality, Serbia, part of the historic Kingdom of Hungary in 1792; reclassified from excluded to lead this pass with tag and MiracleHunter link added)",research_findings lead 56fb564c-9f56-4b1e-abbe-6388945a12b9,
1700-1799,1790 - Matemblewo (Poland),Queued for approval (MiracleHunter link added this pass — was missing),research_findings candidate c4e3f533-f6f7-43de-89a0-b9c0fa149227,
1700-1799,1798 - LaVang (Vietnam),"Approved, in sites (tag and MiracleHunter link already complete)",https://orbisdei.org/site/vn-hai-lang-basilica-of-our-lady-of-la-vang,
1800-1899,July 1803 - Villanova d'Asti (Italy),Queued for approval,research_findings candidate b4d7d9e6-9dec-47f6-8825-e4559cfb4c80,
1800-1899,1807 - Rome (Italy),Not previously ingested — written as new lead this pass,research_findings lead 063b0fcb-b9e6-4758-be1e-a6e95de213dc,
1800-1899,1806 - GRUSHEV (UKRAINE),Not previously ingested — written as new lead this pass,research_findings lead 4358b6e2-a60b-4f8a-9605-dcba436b7bbd,
1800-1899,1813 - Leipzig / Lichen (Poland),"Approved, in sites (duplicate MiracleHunter table row citing the same Lichen sanctuary as idx 37 below (2nd apparition tradition at same site); MiracleHunter link on this record was previously misdirected to Gietrzwald's page -- corrected this pass)",https://orbisdei.org/site/pl-lichen-sanctuary-of-our-lady-of-lichen,
1800-1899,1820 - Lescouët-Gouarec (FRANCE),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate c201c1a4-3371-425a-995a-3996989734e1,
1800-1899,Feb 1821 - Tinos (Greece),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 45a9a0c5-92f5-4274-8d07-1fdefcdcf661,
1800-1899,1821 - Vallecorsa (Italy),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 142207c8-479c-4fc7-8751-8362d0950a3c,
1800-1899,1829 - Sallent (SPAIN),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate dee62819-623a-4377-a1fd-c6907880d7be,
1800-1899,1830 - MIMBASTE (FRANCE),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 6ec93982-f546-4aa1-a4b8-ea664d9dd147,
1800-1899,"1830 - Rue du Bac, Paris (France)","Approved, in sites",https://orbisdei.org/site/fr-paris-chapel-of-our-lady-of-the-miraculous-medal,"St. Catherine Laboure, DC; St. Louise de Marillac, DC; St. Vincent de Paul, CM; Holy Persons"
1800-1899,1833 - Bous-Septfontaines-CLAIRE FONTAINES (FRANCE),Not previously ingested — written as new lead this pass,research_findings lead 81690de5-5ab1-4dab-82e8-dec097ffb561,
1800-1899,1835 - TRINITAPOLI (Apulia),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 97e241bf-85c8-42c0-800c-5647f023766c,
1800-1899,1831 - Laurignano (Italy),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 8380bdee-16a3-423e-a9bd-5520cb0f4595,
1800-1899,"Aug 31, 1831 - Guadalajara (Spain)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 4dd033a0-b385-40a1-90ad-32daac933872,
1800-1899,1833 - Capriana (Trentino Alto Adige),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 3b49f855-a87e-43e3-b759-32f77bd1c0d4,
1800-1899,"Aug 2, 1834 - Valmala (Italy, Piemonte, diocese of Cuneo)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 7ed8f054-e81a-4d60-b109-d70eb1e49b77,
1800-1899,1836 - Paris (France),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 25b21517-8a0e-45f6-b50d-f8727a461efe,
1800-1899,1836 - Siena (Italy),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 94b5e036-0b85-4d99-8d95-0a5f3277131d,
1800-1899,1837 - Rome (Italy),Not previously ingested — written as new lead this pass,research_findings lead 50475f8b-b3cb-407f-92a8-683b7ece3e6a,
1800-1899,"August 6, 1839 - Casnigo (Italy)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate b5529365-e6e8-4a7a-bc7c-13166d0509d5,
1800-1899,"Jan 28, 1840 - Blangy-Versailles (France)",Not previously ingested — written as new lead this pass,research_findings lead b9a5a0cb-4b0d-41dc-9cbd-001cb7324ff7,
1800-1899,1840 - Ars (France),Queued for approval,research_findings proposed_modification c675eedf-1e0e-4732-9dc8-c740e12305cd,john-vianney
1800-1899,"Dec 29, 1840 - NANTES (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded d664ebbe-69ea-4333-86d4-4907bd0e8331,
1800-1899,1840 - GRAZ (AUSTRIA),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 9660d685-a080-4904-8af1-2d72a637477f,
1800-1899,1841 - Montana (USA),Not previously ingested — written as new lead this pass,research_findings lead 5b60285a-ffa7-446e-99a5-ec9562a354a6,
1800-1899,"Jan 20, 1842 - Rome (Italy)","Approved, in sites",https://orbisdei.org/site/it-rome-santandrea-delle-fratte-st-andrew-of-the-thickets,"maximilian-kolbe; Fr. Marie-Alphonse Ratisbonne, NDS"
1800-1899,1842 - Celles (Belgium),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded c2e59f25-aa10-408b-82ab-988a9918340e,
1800-1899,1844 - Tours (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 415db9b2-cd44-4232-abc4-37c0d437c989,
1800-1899,"Sept 19, 1846 - La Salette (France)","Approved, in sites",https://orbisdei.org/site/fr-la-salette-fallavaux-sanctuary-of-our-lady-of-la-salette,
1800-1899,1846 - Turin (Italy),Not previously ingested — written as new lead this pass,research_findings lead 26646c4f-2102-4bdc-b752-3e3611ed244d,
1800-1899,"March 10, 1848 - La Chaudiere (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead a44c489b-8404-4217-8ebb-45f76d50a177,
1800-1899,"May 12, 1848 - Obermauerbach, Bayern, (Bavaria)",Not previously ingested — written as new lead this pass,research_findings lead 9d869812-8940-4c7f-91e0-329a50a2b32e,
1800-1899,"May 4, 1848 - Brette (France)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded b7d03757-11f5-4c98-a579-f407b12b872b,
1800-1899,"1848 - Montoussé, Hautes-Pyrenées (France)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 6addacf4-27bf-49ff-8346-f12fd5076081,
1800-1899,1849 - Chambéry (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 4bbab6d3-b08b-4355-817a-5a7a53a3feb3,
1800-1899,"June 17, 1849 - MARIA DOLINA, Poggersdorf / Kamten (Austria)",Not previously ingested — written as new lead this pass,research_findings lead f46d9855-1715-4867-a048-285cb7c2bf2f,
1800-1899,c. 1850 - Saint John of Acre / Akko (Israel),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded a596e9fb-569d-410e-bf2a-7933a5d05d16,
1800-1899,1850 - Lichen (Poland),"Approved, in sites (duplicate MiracleHunter table row citing the same Lichen sanctuary as idx 3 above (2nd apparition tradition at same site))",https://orbisdei.org/site/pl-lichen-sanctuary-of-our-lady-of-lichen,
1800-1899,April 1850 - VATICAN CITY,No specific site/structure cited by MiracleHunter — not trackable as a database site,,
1800-1899,1851 - Savongo (Italy),Excluded — no locatable site identified (MiracleHunter link added this pass; exclusion_reason flags this as likely a mistaken duplicate reference to the Valmala sanctuary (see 1834/idx 15)),research_findings excluded 734add07-20f5-4494-a7b3-eb8589848023,
1800-1899,"May 19, 1853 - Cerreto, Tuscany (Italy) (Tuscany, Diocese of Pitigliano)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 91479426-debf-49ba-a810-712768e7189a,
1800-1899,1854 - LA PIERRAZ (SWITZERLAND),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 5a3879c9-6bb9-4fef-8035-2780cb5b4281,
1800-1899,"September 8, 1855 - PORZUS DEGLI SLAVI (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 358383a5-6c5a-4e0b-bdbb-96a897945faa,
1800-1899,"June 24, 1855 - Bordeaux (France)",Not previously ingested — written as new lead this pass,research_findings lead 7d693676-7301-441c-9c7b-3278397b26e9,
1800-1899,"1855 - BuuChau, QuangNam (Vietnam)",Not previously ingested — written as new lead this pass,research_findings lead 4fb8cad5-27e7-4be0-b837-5d0017392ce5,
1800-1899,1856 - Spoleto (Italy),Excluded — no locatable site identified (MiracleHunter link added this pass; a related but distinct 1861-1862 San Luca di Montafalco claim is now separately entered as a lead (see below)),research_findings excluded 0a75f51c-cc75-4bfd-b4db-119b182be5e1,
1800-1899,"1856 - Assisi, Umbria (Italy)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 49aa115a-deac-42b2-867c-08285b04cde7,
1800-1899,"June 1856 - Orere, Liguria (Italy)",Not previously ingested — written as new lead this pass,research_findings lead 67875537-f8d5-4e2b-bbc8-bed6f3dda1a9,
1800-1899,May 1857 - TORRAZZA (ITALY),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded df3bbcdd-feb4-4b50-ab05-f21423ed3ef7,
1800-1899,"September 18, 1858 - Abellin (PALESTINE)",Not previously ingested — written as new lead this pass,research_findings lead 1425e3d8-46a8-4876-a771-ed630a008c54,
1800-1899,"Feb 11 - July 16, 1858 - Lourdes (France)","Approved, in sites",https://orbisdei.org/site/fr-lourdes-sanctuary-of-our-lady-of-lourdes,"St. Bernadette of Lourdes, SCN; Holy Persons"
1800-1899,"1859 - Arnaud-Guilhem, Haute-Garonne (France)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 939552da-3a37-414e-ab92-4d29aa1a9032,
1800-1899,"1859 - Robinsonville, WI (USA)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate c82dbbcf-1e92-4176-bec5-1233dd44bc87,
1800-1899,1859 - Rosenau (AUSTRIA),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 0309d9a4-df83-4b3f-a3b8-e480fe925ec1,
1800-1899,1859 - Madhu (Sri Lanka),Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 89118529-59a5-4bb1-810f-cedd4cc9fd41,
1800-1899,"April 20, 1860 - Andlau (FRANCE, Alsace, Basso Reno, diocese of Strausberg)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 85fd945b-11e2-4e33-833a-f650b74bcf8f,
1800-1899,"September 6, 1860 - FRANCOULES (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead 32568ed3-abd9-4402-b022-6663249cdecb,
1800-1899,1861 - San Luca di Montafalco / Spoleto (Italy),Not previously ingested — written as new lead this pass,research_findings lead 6f900e6a-aa33-4562-8ccd-3fa67c874953,
1800-1899,1863 - Anglet (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 3e35c609-5a83-439b-8165-bd5ba78caca6,
1800-1899,"January 13, 1865 - PETIGNY (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 83c00329-1200-4895-826b-50197deb7d4b,
1800-1899,1865 - Chambery (France),Not previously ingested — written as new lead this pass,research_findings lead 3e34099a-9578-4fcc-b107-6c1fcac9d11d,
1800-1899,1865 - ILAC (CROATIA),Not previously ingested — written as new lead this pass,research_findings lead 14e1c03d-f287-4e9c-923c-c77b94ab48d6,
1800-1899,"January 13, 1866 - Filippsdorf (Czech Republic)",Not previously ingested — written as new lead this pass,research_findings lead 0ec7d7b4-422f-4108-b249-fd0d8f528b84,
1800-1899,"January 25, 1867 - Kirchdorf (AUSTRIA)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded ff76ef33-2336-429a-92e2-d318eeee5c90,
1800-1899,"April 15, 1868 - Bois d'Haine (Belgium)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 998baafb-d217-41d0-bca2-b3de6a3d69d9,
1800-1899,"1869 - Tsuwano, Japan","Approved, in sites",https://orbisdei.org/site/jp-tsuwano-otometoge-st-marys-chapel,Hidden Christians; Japanese Martyrs
1800-1899,1869 - Potay-Loigny (France),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 29ffdc1e-1c8e-4628-9323-38db78676805,
1800-1899,"November 9, 1870 - Metz (France)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 85ea3924-8f54-4f3d-9cbb-df429d888eb3,
1800-1899,"November 20, 1870 - NANCY (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 9b3bd4e2-3eca-4bcb-a63f-72afe99fb5fb,
1800-1899,"April 10, 1870 - WALSCHBRONN (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 9415645b-8f62-4f83-83f6-1489f5752254,
1800-1899,1870 - EUPEN (BELGIUM),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded aa625ecf-8914-4145-b4ca-cd4cc8314edf,
1800-1899,1871 - Pontmain (France),"Approved, in sites (MiracleHunter link on this record had a stray trailing ')' in the URL -- corrected this pass)",https://orbisdei.org/site/fr-pontmain-basilica-of-pontmain,
1800-1899,"1871 - Innsbruck , Locherboden (Austria)",Queued for approval,research_findings candidate 4ce55b12-a72f-41d2-8747-c734ec8419be,
1800-1899,"April 4, 1871 - Lausanne, CHAPPELES (Switzerland)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 6d53064c-d652-4d04-9374-2b63f8600d20,
1800-1899,"December 5, 1871 - PARIS (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead bc1244d7-fea9-4701-b007-2d3c78b65c61,
1800-1899,"August 25, 1871 - St. Louis, MO (USA)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded ac52d07d-ec81-4a8f-9f03-db29ae4a4034,
1800-1899,1872 - L'Hospital (France),Not previously ingested — written as new lead this pass,research_findings lead 131bea4b-86b0-4f27-b2ac-67e0c4aaa83e,
1800-1899,"July 7, 1872 - NEUBOIS (FRANCE)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate e8feb0ff-82bb-4b18-8c87-c20c86a3295c,
1800-1899,"February 14, 1872 - POUILLE-les-Coteaux (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead e2c67880-1c98-4441-a728-8e0beca42943,
1800-1899,"February 18, 1873 - PARIS (FRANCE)",Not previously ingested — written as new lead this pass,research_findings lead a7c849f7-0d82-4496-9827-b22de265f55a,
1800-1899,"February 22, 1873 - Blaine / La Fraudais (France)",Queued for approval (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings candidate 75fa9ddb-a93d-4fe1-ae08-b3fa36804ad2,
1800-1899,"March 10, 1873 - Bilding-St. Avola (France)",Not previously ingested — written as new lead this pass,research_findings lead 32361b2a-ad97-4c41-be54-19c06f9eebd7,
1800-1899,March 1873 - Wittelsheim (Alsace),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded c62c6dbf-a2d8-4977-8d36-b660cc84cbed,
1800-1899,"April 14, 1873 - Walbach (Alsace)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded ac08eb6b-0c46-442d-a46c-5a871523ae05,
1800-1899,"May 15, 1873 - Samois (FRANCE)",Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 4dd6d2d4-453e-4ab9-a9ef-8639c5d688bb,
1800-1899,"June 8, 1873 - Saint Bauzille DE LA SYLVIE, Montpellier (France)",Not previously ingested — written as new lead this pass,research_findings lead c00b1357-77b9-4f38-840b-f85148207379,
1800-1899,"1873 - Saint Bauzille DE LA SYLVIE, Montpellier (France)","Not previously ingested — written as new lead this pass (same site/subpage as idx 85 above -- combined into a single DB record, not duplicated)",research_findings lead c00b1357-77b9-4f38-840b-f85148207379,
1800-1899,1873 - RIXHEIM (FRANCE),Excluded — no locatable site identified (MiracleHunter link and/or marian-sites tag added this pass -- was missing),research_findings excluded 589220d3-ff8f-4d55-b37f-ca9db2745adf,
